Unnamed: 0,id,username,text,retweet_count,like_count,created_at,label
0,1622612766266900481,ntsana_,"RT @knockknock0408: groovechaja ins
@weareoneEXO https://t.co/RexmDaiPjl",4534,0,2023-02-06 15:06:44+00:00,bot
1,1622583399105069057,ntsana_,🤡 https://t.co/sly9cEUdaB https://t.co/OgZhRSmYJh,585,3838,2023-02-06 13:10:03+00:00,bot
2,1621496343834546177,ntsana_,😭 https://t.co/7suaOGFlx3 https://t.co/NxnNkXFwU9,571,4843,2023-02-03 13:10:28+00:00,bot
3,1621164409728176129,ntsana_,RT @B_hundred_Hyun: 곧만나!!&gt;&lt;,115056,0,2023-02-02 15:11:29+00:00,human
4,1620046837246988288,ntsana_,"mantap 
https://t.co/bGA4lyxu3v https://t.co/h3WQcWD5sW",285,2321,2023-01-30 13:10:39+00:00,bot
5,1618984634779566080,ntsana_,@adit_insomnia duhh😮‍💨,0,2,2023-01-27 14:49:50+00:00,human
6,1618959218312355840,ntsana_,😊 https://t.co/KiBSiGUMzi https://t.co/zaflXUFwnO,2436,12968,2023-01-27 13:08:51+00:00,bot
7,1617513188316315649,ntsana_,🤣 https://t.co/2eeXQHXuHV https://t.co/JwmBB0zG1F,915,6783,2023-01-23 13:22:50+00:00,bot
8,1617230016106102786,ntsana_,🤭😘♥️ https://t.co/UzCuyknoEi,109,1153,2023-01-22 18:37:37+00:00,bot
9,1617229390211088384,ntsana_,RT @Arsenal: BIG. THREE. POINTS. https://t.co/1Tbu8SP8p9,34128,0,2023-01-22 18:35:07+00:00,bot
10,1617217004083245057,ntsana_,RT @SemperFiArsenal: Saka doing the Rashford celebration after dunking on United is the thing you love to see https://t.co/2BSulU5qHs,627,0,2023-01-22 17:45:54+00:00,bot
11,1616506886916046849,ntsana_,@_fangurll31 🤗🤗🤗🤗,6,196,2023-01-20 18:44:09+00:00,human
12,1616506767168663553,ntsana_,@d_coquillage sama sama sayaaang,2,75,2023-01-20 18:43:41+00:00,human
13,1616506731336716288,ntsana_,"RT @d_coquillage: Udh kepikiran terus dan akhirnya ada yg sepemikiran jga, relate bgt sama aku usss bener bener relate, terima kasih paus,…",71,0,2023-01-20 18:43:32+00:00,human
14,1616452713604354050,ntsana_,"RT @_fangurll31: ""We will find the right love at the right time when we are ready"" @ntsana_ 

Pauss, terima kasih yaaa~ 🥹❤ https://t.co/4D7…",403,0,2023-01-20 15:08:53+00:00,bot
15,1616435366701191171,ntsana_,🙏 https://t.co/v0dIIbkjqY https://t.co/F43emo5JR9,222,2705,2023-01-20 13:59:57+00:00,bot
16,1615949891137843200,ntsana_,@shouldhaveaduck 😭♥️,1,195,2023-01-19 05:50:51+00:00,human
17,1615336815388688386,ntsana_,RT @shouldhaveaduck: https://t.co/PgW9HAa57a,6270,0,2023-01-17 13:14:42+00:00,bot
18,1615058230333571072,ntsana_,"RT @LZIjihan: mulai menit ke 7 yaa; ini juaraaaaa @ntsana_ @rintiksedupod 

 https://t.co/mgMHN3uTzk",7,0,2023-01-16 18:47:43+00:00,bot
19,1615002014148329475,ntsana_,RT @Arsenal: What it means ❤️ https://t.co/0Ujipm8RFE,6047,0,2023-01-16 15:04:20+00:00,bot
20,1614992885048541188,ntsana_,RT @rintiksedupod: jawaban tdk tersedia https://t.co/PtrwPOazmK,100,0,2023-01-16 14:28:03+00:00,bot
21,1614975980166344711,ntsana_,"lho 

https://t.co/vQb5dqxn62 https://t.co/ldsedY5ztE",937,8486,2023-01-16 13:20:53+00:00,bot
22,1614930478733328384,ntsana_,@sbyfess lho piye 😭,24,2271,2023-01-16 10:20:04+00:00,human
23,1614665673363554305,ntsana_,"RT @Arsenal: WE TAKE THE LEAD 🔥

GREAT START ⚡️

⚪️ 0-1 🔴 (14) https://t.co/44itjrMjHX",2619,0,2023-01-15 16:47:50+00:00,bot
24,1613889820325195777,ntsana_,"😔 

https://t.co/ehhTT7CCrs https://t.co/mjEWE7jk7y",987,8112,2023-01-13 13:24:52+00:00,bot
25,1613867918760226821,ntsana_,RT @HmnsId: Dah pada nyampe Elea nya? Gimana wanginya? :D https://t.co/CFSBcksDJj,25,0,2023-01-13 11:57:50+00:00,bot
