Unnamed: 0,id,username,text,retweet_count,like_count,created_at,label
0,1622796454040604672,awesomeposted,"21. https://t.co/MdCMFIwl4x
22. https://t.co/jZ3okZ6jlL
23. https://t.co/CK67XiOQFc
24. https://t.co/3dyfYcxqXo
25.… https://t.co/cMvkZ9xHCg",0,0,2023-02-07 03:16:39+00:00,1
1,1622796208619294722,awesomeposted,https://t.co/LOMaQtc0dO,0,0,2023-02-07 03:15:40+00:00,1
2,1622765781862780928,awesomeposted,"RT @awesomeposted: RUMAH SUBSIDI BARANG ELIT 

— a thread https://t.co/dtU1CEuyfX",140,0,2023-02-07 01:14:46+00:00,1
3,1622765716624805890,awesomeposted,"RT @awesomeposted: Barang Yg Bisa Menghemat Budget Bulanan Anak Kost

— a thread https://t.co/qOwonxkbbS",288,0,2023-02-07 01:14:31+00:00,1
4,1622765685037465600,awesomeposted,"RT @awesomeposted: SELF REWARD GA MESTI MAHAL 100K UDAH DAPET BANYAKKK! 

— a thread https://t.co/NXk9g7LGrg",240,0,2023-02-07 01:14:23+00:00,1
5,1622765659582255109,awesomeposted,"RT @awesomeposted: Rekomendasi Smart TV Spek Gahar di Bawah 2 Jutaan

— a thread https://t.co/GAzpIFw98D",342,0,2023-02-07 01:14:17+00:00,1
6,1622765625126035458,awesomeposted,"RT @awesomeposted: MEAL PLAN ANAK KOST SEMINGGU 100RIBU AUTO HEMAT!

— a thread https://t.co/IapsSR610W",1984,0,2023-02-07 01:14:09+00:00,1
7,1622765554389110784,awesomeposted,"RT @awesomeposted: RUMAH BOLEH NGONTRAK BARANG ELEKTRONIK BUKAN KALENG-KALENG ‼️

— a thread https://t.co/gXrmKFGRBH",218,0,2023-02-07 01:13:52+00:00,1
8,1622765534407442433,awesomeposted,"RT @awesomeposted: TOILETRIES ANAK KOST SUPAYA GA MALAS MANDI

— a thread https://t.co/V3Q337hqM7",430,0,2023-02-07 01:13:47+00:00,1
9,1622765491487125505,awesomeposted,"RT @awesomeposted: Top Skincare Pria Khusus Wajah Berminyak

— a thread https://t.co/RXNJDazNAo",41,0,2023-02-07 01:13:37+00:00,1
10,1622765465960611840,awesomeposted,"RT @awesomeposted: Keyboard wireless on the go, multifungsi &amp; low budget

— a thread https://t.co/Kld9VsY59R",199,0,2023-02-07 01:13:31+00:00,1
11,1622765444129255424,awesomeposted,"RT @awesomeposted: Starter pack mahasiswa ambis mempermudah perkuliahan

— a thread https://t.co/pNYUpcT8uj",484,0,2023-02-07 01:13:26+00:00,1
12,1622765422776049664,awesomeposted,"RT @awesomeposted: SELAIN GHIBAH HAL SERU YG BISA DILAKUKAN BERSAMA BESTIE

— a thread https://t.co/WLlBu7qTk2",544,0,2023-02-07 01:13:20+00:00,1
13,1622765403218014209,awesomeposted,"RT @awesomeposted: Barang aneh tapi bermanfaat

— a thread https://t.co/fgY9rf7Ei4",203,0,2023-02-07 01:13:16+00:00,1
14,1622765366467526657,awesomeposted,"RT @awesomeposted: Rekomendasi Skincare Rutin Cowok untuk Menghilangkan Bekas Jerawat, Beruntusan dan Muka Berminyak 

— a thread https://t…",80,0,2023-02-07 01:13:07+00:00,1
15,1622765340051767296,awesomeposted,"RT @awesomeposted: List barang kost-an sempit anti mubazir

— a thread https://t.co/6bNDBtN1ut",676,0,2023-02-07 01:13:01+00:00,1
16,1622765318992203776,awesomeposted,"RT @awesomeposted: Barang mempermudah travelling anti ribet

— a thread https://t.co/7pCPn0BH6q",392,0,2023-02-07 01:12:56+00:00,1
17,1622765302055604224,awesomeposted,"RT @awesomeposted: TWS terbaik harga pro rakyat 

— a thread https://t.co/k6sSyMjYCD",270,0,2023-02-07 01:12:52+00:00,1
18,1622765278185783296,awesomeposted,"RT @awesomeposted: Kumpulan Raja Android dibawah 5 Jutaan 

— a thread https://t.co/6QnQ7gReSq",478,0,2023-02-07 01:12:46+00:00,1
19,1622765256169889794,awesomeposted,"RT @awesomeposted: Kumpulan barang di luar nalar yg ga banyak orang tau!

— a thread https://t.co/OWzpOhjisU",226,0,2023-02-07 01:12:41+00:00,1
20,1622765235928195072,awesomeposted,"RT @awesomeposted: Barang unik rumah tangga, yg belum nikah save aja duluuu

— a thread https://t.co/gO5FQ4GEbP",285,0,2023-02-07 01:12:36+00:00,1
21,1622765218786050049,awesomeposted,"RT @awesomeposted: Rumah Komersil Perabotan Elit Ternyata Low Budget

— a thread https://t.co/CR7yCYzmIz",643,0,2023-02-07 01:12:32+00:00,1
22,1622765197453832193,awesomeposted,"RT @awesomeposted: BIRTHDAY GIFT IDEAS for ayngg (bf/gf) anti mainstream

— a thread https://t.co/6z8pP8mr9o",716,0,2023-02-07 01:12:27+00:00,1
