,id,username,text,retweet_count,like_count,created_at
0,1618932658993762310,kristanti198,@DevintaPrian @sosmedkeras Wqwqwqwq iya iyh lu caper apa gmn si,0,0,2023-01-27 11:23:18+00:00
1,1618776870677520384,kristanti198,@tanyakanrl Ngomel tp tergantung sitkon juga si. Klo ga memungkinkan yauda bsok aja ngomelnya,0,0,2023-01-27 01:04:16+00:00
2,1618505268723355649,kristanti198,"@convomf Abon, setundeng, kering tempe, kentang mustofa, banyak nder",0,0,2023-01-26 07:05:01+00:00
3,1618504377316315137,kristanti198,@jjaemxin @tanyakanrl Takut aku kecewa,0,0,2023-01-26 07:01:28+00:00
4,1616808882885758977,kristanti198,@tanyarlfes WKWKWK TULISANNYA NO SALTY TP CAPER ANJIR,0,0,2023-01-21 14:44:11+00:00
5,1616808715042328578,kristanti198,@tanyarlfes Tp gw klo diposisi temen lu bakal marah dan kecewa. Lu emg tau klo dia sebelumnya dah prepare? Trus bis… https://t.co/uhEQFcohUe,0,0,2023-01-21 14:43:31+00:00
6,1616029753793970176,kristanti198,@FOOD_FESS Gemush bgttt,0,0,2023-01-19 11:08:12+00:00
7,1616022028947173377,kristanti198,"@txtdrberseragam Ytta

https://t.co/d8WFYSmbfC",0,0,2023-01-19 10:37:30+00:00
8,1616021515807641609,kristanti198,"@kegblgnunfaedh Maksudnyaa? 

https://t.co/we2meTkqU0",0,0,2023-01-19 10:35:28+00:00
9,1615992150319333377,kristanti198,@collegemenfess Mungkin bgt klo bab 1-2. Aku seminggu bisa kok,0,0,2023-01-19 08:38:46+00:00
10,1615702376572416001,kristanti198,@tanyakanrl Liat tiktoknya deh org dia ngedit😭,0,0,2023-01-18 13:27:19+00:00
11,1615701750161510402,kristanti198,"@orereyo @eatmpty @Askrlfess Iyaa betul kak punya pemerintah, dan setahuku bisa dilelang kalau sudah merasa tidak t… https://t.co/cb2eCurWtc",0,0,2023-01-18 13:24:50+00:00
12,1615700127112630272,kristanti198,@convomf Kontra karena aku anak sang surya telah bersinar,0,0,2023-01-18 13:18:23+00:00
13,1615592703273889794,kristanti198,@ohmybeautybank Leher pundak nder,0,0,2023-01-18 06:11:31+00:00
14,1615591501228298242,kristanti198,"@AREAJULID Dompetnya klo kena air jadi mermaid ya?

https://t.co/oDJRdyri1E",0,0,2023-01-18 06:06:44+00:00
15,1615579983610785792,kristanti198,"@ndagels Yg videoin apa ga gemes pen bantuin apa 😭 keren sih sabar bgt liatnya

https://t.co/oDJRdyri1E",0,0,2023-01-18 05:20:58+00:00
16,1615579490356441091,kristanti198,"@sosmedkeras @kegblgnunfaedh Kirain mentalnya yg miskin, gataunya akhlak nya juga miskin😔

https://t.co/oDJRdyri1E",0,0,2023-01-18 05:19:01+00:00
17,1615578886796115968,kristanti198,https://t.co/PcIw6McC1o https://t.co/AwvcCfIh2E,0,0,2023-01-18 05:16:37+00:00
18,1615578866202075136,kristanti198,https://t.co/sR9pvUjpWp https://t.co/Oisk4X1lJZ,0,0,2023-01-18 05:16:32+00:00
19,1615578850892877827,kristanti198,https://t.co/CtDsPgFOVi https://t.co/68BXPlIcRy,0,0,2023-01-18 05:16:28+00:00
20,1615578826180034560,kristanti198,https://t.co/3OTH6W7vRb https://t.co/QxYqNHysup,0,0,2023-01-18 05:16:22+00:00
21,1615578799328096258,kristanti198,https://t.co/xtluTHmlgt https://t.co/TOmiAZfCqt,0,0,2023-01-18 05:16:16+00:00
22,1615578781661683712,kristanti198,https://t.co/gOQzUKTPRc https://t.co/WMuPFLRWGn,0,0,2023-01-18 05:16:12+00:00
23,1615578736908447744,kristanti198,https://t.co/mrNxGkUujw https://t.co/fT76HVhZbX,0,0,2023-01-18 05:16:01+00:00
24,1615578715894992896,kristanti198,https://t.co/bvszZYatKo https://t.co/ZTUaxRBrYI,0,0,2023-01-18 05:15:56+00:00
25,1615578691878412288,kristanti198,https://t.co/cBfF1IJmP4 https://t.co/sL0IdqIfFK,0,0,2023-01-18 05:15:50+00:00
26,1615578675092819968,kristanti198,https://t.co/RcP4hxBlFr https://t.co/tufqcWNmGB,0,0,2023-01-18 05:15:46+00:00
27,1615578651097182208,kristanti198,https://t.co/425cjToN8q https://t.co/IxTGGxDiFV,0,0,2023-01-18 05:15:41+00:00
28,1615578627948826624,kristanti198,https://t.co/UD1ThUc2Vh https://t.co/Yw9xdaPezq,0,0,2023-01-18 05:15:35+00:00
29,1615578596751585280,kristanti198,https://t.co/U7YYmNnxty https://t.co/IX8C0oIb0V,0,0,2023-01-18 05:15:28+00:00
30,1615578570285535232,kristanti198,https://t.co/rG8T7BUw88 https://t.co/KbhzWV7FH7,0,0,2023-01-18 05:15:21+00:00
31,1615578546201858048,kristanti198,https://t.co/AndICG6caC https://t.co/oM3VQmH6C6,0,0,2023-01-18 05:15:16+00:00
32,1615578511787593728,kristanti198,"✨TAS terdebes buat hadir di Nikahan Bestie 👛👛✨✨😱

A thread https://t.co/50fxep4XKG",1,0,2023-01-18 05:15:07+00:00
33,1615533339360006145,kristanti198,@farelfarika @collegemenfess Iqro set dahh,0,0,2023-01-18 02:15:37+00:00
34,1615339912118820870,kristanti198,Gw takut bgt.,0,0,2023-01-17 13:27:01+00:00
